request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,A full payment of 1.5656e+07 is safe on the request date.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,A full payment of 6670 is safe on the request date.
request_28,429.49,affordable_later,wait,2024-06-15:1302.40,2024-06-15,none,Waiting until 2024-06-15 protects the minimum balance.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,A full payment of 51524 is safe on the request date.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,The supplied installment schedule stays above the required minimum balance.
request_31,1629678.65,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,Waiting until 2024-10-15 protects the minimum balance.
request_32,23199.0,affordable_later,wait,2025-02-15:40018,2025-02-15,none,Waiting until 2025-02-15 protects the minimum balance.
request_33,46556.65,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Waiting until 2026-01-15 protects the minimum balance.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,A full payment of 129400 is safe on the request date.
request_35,49343.55,affordable_later,wait,2025-11-15:212000,2025-11-15,none,Waiting until 2025-11-15 protects the minimum balance.
request_36,921.23,affordable_later,wait,2026-07-15:3954,2026-07-15,none,Waiting until 2026-07-15 protects the minimum balance.
request_37,6189426.47,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,Waiting until 2024-03-15 protects the minimum balance.
request_38,264.82,affordable_later,wait,2025-08-15:971.30,2025-08-15,none,Waiting until 2025-08-15 protects the minimum balance.
request_39,149777.5,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Waiting until 2026-04-15 protects the minimum balance.
request_40,540.0,affordable_later,wait,2024-06-15:1290.30,2024-06-15,none,Waiting until 2024-06-15 protects the minimum balance.
request_41,13092721.43,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,Waiting until 2025-12-15 protects the minimum balance.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,A full payment of 52100 is safe on the request date.
request_43,9868266.98,affordable_later,wait,2024-09-15:43339000,2024-09-15,none,Waiting until 2024-09-15 protects the minimum balance.
request_44,39281.2,affordable_later,wait,2025-02-15:95800,2025-02-15,none,Waiting until 2025-02-15 protects the minimum balance.
request_45,5527819.4,affordable_later,wait,2026-07-15:21983000,2026-07-15,none,Waiting until 2026-07-15 protects the minimum balance.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,The supplied installment schedule stays above the required minimum balance.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,A full payment of 3.8114e+07 is safe on the request date.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,A full payment of 45700 is safe on the request date.
request_49,13135510.14,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,The supplied installment schedule stays above the required minimum balance.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,A full payment of 43900 is safe on the request date.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,A full payment of 2.191e+06 is safe on the request date.
request_52,26530.0,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Waiting until 2024-06-15 protects the minimum balance.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,The supplied installment schedule stays above the required minimum balance.
request_54,8928.26,not_affordable,not_recommended,none,2026-09-15,none,No eligible payment plan keeps the projected balance above the required minimum.
